,Item,ServingSize,Calories,CaloriesFromFat,TotalFat,TF%OfDailyValue,SaturatedFat,SF%OfDailyValue,TransFat,Cholesterol,Chol%OfDailyValue,Sodium,S%OfDailyValue,Carbohydrates,Carb%OfDailyValue,DietaryFiber,Fiber%OfDailyValue,Sugar,Protien,%VitaminA,%VitaminC,%Calcium,%Iron,Category_Beef & Pork,Category_Beverages,Category_Breakfast,Category_Chicken & Fish,Category_Coffee & Tea,Category_Desserts,Category_Salads,Category_Smoothies & Shakes,Category_Snacks & Sides,Resturant_InNOut,Resturant_McDonalds,Resturant_RedRobin
342,Very Berry Raspberry Limeade,,180.0,0.0,0.0,,0.0,,0.0,0.0,,20.0,,46.0,,0.0,,43.0,0.0,,,,,0,1,0,0,0,0,0,0,0,0,0,1
343,Balsamic Vinegar Dressing,2 oz.,100.0,80.0,9.0,,1.5,,0.0,0.0,,490.0,,6.0,,0.0,,4.0,0.0,,,,,0,0,0,0,0,0,1,0,0,0,0,1
344,Bleu Cheese Dressing,2 oz.,320.0,310.0,34.0,,7.0,,0.5,30.0,,570.0,,0.0,,0.0,,0.0,2.0,,,,,0,0,0,0,0,0,1,0,0,0,0,1
345,Caesar Dressing,2 oz.,360.0,340.0,38.0,,7.0,,0.5,30.0,,510.0,,3.0,,0.0,,0.0,2.0,,,,,0,0,0,0,0,0,1,0,0,0,0,1
346,Italian Dressing,2 oz.,220.0,200.0,22.0,,3.0,,0.0,0.0,,580.0,,6.0,,0.0,,4.0,0.0,,,,,0,0,0,0,0,0,1,0,0,0,0,1
347,Avo-Cobb-O Salad†,,510.0,240.0,26.0,,9.0,,0.5,295.0,,1420.0,,25.0,,9.0,,8.0,50.0,,,,,0,0,0,0,0,0,1,0,0,0,0,1
348,Crispy Chicken Tender Salad†,,880.0,450.0,50.0,,14.0,,0.5,270.0,,1470.0,,60.0,,7.0,,8.0,38.0,,,,,0,0,0,0,0,0,1,0,0,0,0,1
349,Mighty Caesar,,750.0,550.0,61.0,,11.0,,1.0,135.0,,1560.0,,20.0,,7.0,,5.0,35.0,,,,,0,0,0,0,0,0,1,0,0,0,0,1
350,Simply Grilled Chicken Salad†,,280.0,70.0,8.0,,3.5,,0.0,105.0,,870.0,,20.0,,6.0,,7.0,35.0,,,,,0,0,0,0,0,0,1,0,0,0,0,1
351,Southwest Salad,,900.0,570.0,63.0,,19.0,,1.0,175.0,,1950.0,,41.0,,11.0,,12.0,48.0,,,,,0,0,0,0,0,0,1,0,0,0,0,1
352,Caesar Salad,,230.0,190.0,21.0,,4.0,,0.5,15.0,,360.0,,8.0,,2.0,,2.0,4.0,,,,,0,0,0,0,0,0,1,0,0,0,0,1
353,House Salad†,,100.0,50.0,5.0,,2.5,,0.0,15.0,,160.0,,9.0,,2.0,,3.0,5.0,,,,,0,0,0,0,0,0,1,0,0,0,0,1
